Station,River,Location,Easting,Northing,Area,ALTBAR,BFI,PROPWET,SAAR,QMED,Ireland
28032,Meden,Church Warsop,455800,368000,59.92,126,0.821,0.38,699,4.786,FALSE
28033,Dove,Hollinsclough,406300,366850,7.92,408,0.403,0.52,1346,4.1775,FALSE
28039,Rea,Calthorpe Park,407100,284700,73.68,168,0.511,0.3,781,31.2415,FALSE
28040,Trent,Stoke-On-Trent,389200,346650,58.52,185,0.403,0.44,861,11.5275,FALSE
28041,Hamps,Waterhouses,408300,350200,37.04,327,0.302,0.44,1085,26.313,FALSE
28043,Derwent,Chatsworth,426050,368400,344.34,335,0.461,0.41,1170,86.039,FALSE
28045,Meden/Maun,Bothamsall / Haughton,468150,372850,258.81,100,0.831,0.28,678,8.94,FALSE
28046,Dove,Izaak Walton,414700,351000,85.69,317,0.651,0.46,1098,13.187,FALSE
28049,Ryton,Worksop,457500,379500,75.38,97,0.748,0.38,664,5.545,FALSE
28053,Penk,Penkridge,392200,314400,268.6,119,0.464,0.32,698,28.138,FALSE
28055,Ecclesbourne,Duffield,431950,344650,51.06,167,0.455,0.35,852,14.4,FALSE
28056,Rothley Brook,Rothley,458050,312150,91.9,114,0.353,0.3,672,12.1,FALSE
28058,Henmore Brook,Ashbourne,417550,346200,38.52,208,0.448,0.36,895,8.838,FALSE
28060,Dover Beck,Lowdham,465300,347950,62.67,88,0.751,0.27,683,2.71,FALSE
28061,Churnet,Basford Bridge,398250,351950,136.34,230,0.442,0.44,976,27.6935,FALSE
28067,Derwent,Church Wilne,444150,331650,1176.63,241,0.55,0.38,979,168,FALSE
28070,Burbage Brook,Burbage,425950,380350,8.46,386,0.426,0.38,1006,4.302,FALSE
28080,Tame,Lea Marston Lakes,420800,293700,795.1,132,0.472,0.3,716,117.675,FALSE
28081,Tame,Bescot,401400,295650,174.46,149,0.4,0.31,712,34.8,FALSE
28082,Soar,Littlethorpe,454200,297300,180.56,103,0.445,0.3,637,16.205,FALSE
28083,Trent,Darlaston,388550,335500,193.71,157,0.443,0.44,819,34.664,FALSE
28085,Derwent,St Mary's Bridge,435350,336900,1051.02,259,0.55,0.39,1012,139.5,FALSE
28086,Sence,South Wigston,458800,297700,126.21,123,0.36,0.29,642,22.511,FALSE
28091,Ryton,Blyth,463150,387150,228.23,71,0.758,0.3,646,11.5,FALSE
28095,Tame,Hopwas Bridge,418100,305150,1429.23,120,0.488,0.3,691,134.7625,FALSE
29001,Waithe Beck,Brigsley,525300,401600,108.75,94,0.88,0.29,691,2.038,FALSE
29002,Great Eau,Claythorpe Mill,541650,379300,80.43,68,0.713,0.28,692,3.2625,FALSE
29003,Lud,Louth,533650,387900,55.72,91,0.82,0.29,698,3.274,FALSE
29004,Ancholme,Bishopbridge,503150,391050,59.04,28,0.558,0.26,615,5.99,FALSE
29009,Ancholme,Toft Newton,503200,387450,29.31,32,0.626,0.26,616,1.735,FALSE
30001,Witham,Claypole Mill,484200,347950,295.67,86,0.592,0.27,615,16.3125,FALSE
30003,Bain,Fulsby Lock,524100,361000,199.48,80,0.756,0.29,667,16.298,FALSE
30004,Lymn,Partney Mill,540150,367600,60.09,65,0.568,0.29,686,7.128,FALSE
30005,Witham,Saltersford Total,492700,333500,123.46,120,0.76,0.27,646,6.575,FALSE
30006,Slea,Leasingham Mill,508800,348450,51.53,58,0.809,0.23,601,1.88,FALSE
30011,Bain,Goulceby Bridge,524600,379450,64.55,108,0.841,0.29,695,2.365,FALSE
30013,Heighington Beck,Heighington,504050,369550,23.93,51,0.946,0.26,605,0.633,FALSE
30014,Pointon Lode,Pointon,512800,331250,10.93,43,0.338,0.22,591,2.663,FALSE
30017,Witham,Colsterworth,492900,324600,50.09,123,0.656,0.27,641,5.402,FALSE
31004,Welland,Tallington Total,509600,307700,708.01,104,0.476,0.29,632,34.7995,FALSE
31005,Welland,Tixover,497000,299650,419.62,111,0.377,0.3,636,37.24,FALSE
